kq,sl
1004.8598570092041,1176
1017.2799494149835,1200
1038.4720392744266,1198
1112.9336868169446,1333
1105.8587365197066,1336
1164.3822607177863,1380
962.7255055341052,1122
978.4268876222093,1133
1164.3255088295718,1380
1119.0888783259495,1317
1161.6061481564823,1364
988.987627382948,1157
1129.0178808289545,1331
954.5096307082092,1143
1112.1136593440842,1374
965.6777880559363,1105
1074.5726236539208,1269
1151.079729049229,1361
1009.0432454920831,1148
1076.5298573518185,1261
1069.897665884823,1265
932.8333333333283,1109
1002.9126135984727,1175
1124.0185054884578,1330
967.4052724494525,1154
1031.848188185782,1254
924.0971192554119,1100
962.6354624241957,1127
1093.0794069338115,1305
972.8615383123824,1101
1109.1922548702453,1298
1059.1186305375118,1262
1094.2032861761388,1306
1073.954737881511,1269
1155.6226849711838,1364
1141.265180119029,1334
1102.8871110228267,1292
1141.8534369231008,1352
999.4182854649065,1142
995.0164504113093,1132
1054.6705626416203,1261
991.4144338422038,1146
1103.9340878469106,1319
1157.6484780312098,1395
983.9306971280467,1164
1059.004672802282,1247
1099.156082346786,1313
1056.2710068877684,1265
1081.9113880355812,1289
960.5082101159,1100
1077.0159934996236,1244
1115.9111299350293,1302
1028.4234803211093,1202
1039.6326195193615,1241
1017.1959159918617,1154
1074.7236932686487,1262
1164.8786826872392,1388
1181.1968652513815,1393
1083.527441905539,1265
1111.6937970972956,1323
1004.2913665872876,1181
1001.6366243718911,1146
1020.7973971893357,1201
1028.6998541236605,1229
1065.0473222186354,1261
1067.898982732952,1269
965.9661937320983,1129
991.7257826308173,1163
1132.0740574710842,1323
1112.536189738948,1326
1091.4869269527646,1319
935.9486728168328,1124
1015.6568564914423,1232
1027.4996564192452,1241
1027.760352859855,1224
1117.9176824218036,1317
1148.0159812859029,1355
1028.9364533942335,1203
1086.0692149676365,1300
967.3970654290015,1149
1052.0623560852684,1250
1163.5214319375707,1371
1126.0721862593614,1323
1116.0960164074731,1336
1075.5808217928816,1349
959.8258245234864,1166
1089.7306493418741,1354
1004.213389727399,1217
1044.2309890086142,1300
1076.3094756000423,1263
1015.1505531106545,1191
1118.5363459928178,1323
950.4974754820462,1100
1068.51994575239,1267
972.6666666666644,1132
1099.325348988136,1309
1051.0733303444222,1220
1117.5245218948182,1358
1176.7547199412934,1398
