total_reward,mean_reward
1000,999.2105559657049,0.9992105559657048
1005,1000.4277192443309,0.995450466909782
1010,1002.7671106051886,0.9928387233714738
1015,1014.0299112789984,0.9990442475655157
1020,1017.178688340894,0.9972340081773471
1025,1023.5387993797781,0.9985744384192957
1030,1028.6636902419514,0.9987026118853897
1035,1033.5128448696591,0.9985631351397672
1040,1037.1493641162356,0.9972590039579188
1045,1043.6389698320131,0.9986975787866155
1050,1047.3697805139952,0.9974950290609479
1055,1047.9472093359009,0.9933148903657828
1060,1057.5027093867063,0.997644065459157
1065,1056.6456720397664,0.9921555606007196
1070,1040.0097708529172,0.9719717484606702
1075,1036.0491169965674,0.9637666204619231
1080,1075.0405181239305,0.9954078871517875
1085,1084.086198504635,0.9991577866402165
1090,1089.496515978723,0.9995380880538743
1095,1092.0033163458072,0.9972633025989107
1100,1086.4850128901487,0.9877136480819534
1105,1100.7993220855274,0.9961984815253642
1110,1096.2527130677142,0.9876150568177606
1115,1097.2870729290173,0.9841139667524819
1120,1109.5465916980327,0.9906665997303863
1125,1080.5299955564483,0.9604711071612874
1130,1038.04326331371,0.9186223569147876
1135,1051.8419156512975,0.9267329653315397
1140,1116.593504341268,0.9794679862642702
1145,1131.6924662452113,0.9883776997774771
1150,1143.3788349874014,0.994242465206436
1155,1147.162832356733,0.9932145734690329
1160,1148.4265945595805,0.990022926344466
1165,1158.482728791094,0.9944057757863467
1170,1130.7262851044454,0.9664327223114918
1175,1159.1699622840908,0.986527627475822
1180,1175.1736130655277,0.9959098415809556
1185,1120.2104212238046,0.9453252499778941
1190,1167.9664432038132,0.9814844060536245
1195,1189.207147924554,0.9951524250414677
1200,1194.6243131352064,0.9955202609460053
1205,1193.721760821783,0.990640465412268
1210,1177.18640067844,0.9728813228747437
1215,1206.5930663249935,0.993080713024686
1220,1179.2194187373102,0.9665732940469756
1225,1161.529181733696,0.9481870871295478
1230,1201.6312342928347,0.9769359628397031
1235,1209.9975657809737,0.9797551139926912
1240,1190.921141857435,0.9604202756914799
1245,1234.587541967501,0.9916365798935751
1250,1217.6375063805913,0.974110005104473
1245,1229.2909340646033,0.9873822763571111
1240,1233.0420431651678,0.9943887444880386
1235,1032.8954801966356,0.8363526155438346
1230,1208.6997452235998,0.9826827196939836
1225,1151.178678337002,0.9397376966016344
1220,1203.3726361541887,0.9863710132411383
1215,1195.271796390259,0.9837627953829292
1210,1198.981087215473,0.9908934605086555
1205,1142.1559292095535,0.9478472441573058
1200,1175.2763642328243,0.9793969701940203
1195,1165.272242908077,0.9751232158226586
1190,1178.448590638051,0.9902929333092866
1185,1174.1402161249728,0.9908356254219179
1180,1115.0371222606232,0.9449467137801891
1175,1127.5436993836759,0.959611659049937
1170,1166.543057470156,0.9970453482650907
1165,1159.3514782859831,0.9951514835072817
1160,1132.9425277594926,0.9766745928961142
1155,1125.1642117479275,0.9741681486995044
1150,1126.9048810755633,0.9799172878917941
1145,1098.7902617520435,0.9596421500017848
1140,1069.6692082711716,0.9383063230448874
1135,1100.5048689916118,0.9696078140895258
1130,1074.3990106482588,0.9507955846444768
1125,1111.7826990984952,0.9882512880875512
1120,1101.5281724519973,0.9835072968321404
1115,1104.351935889507,0.9904501667170468
1110,1108.8770126478796,0.9989882996827745
1105,1096.4189175114745,0.9922343144900222
1100,1076.9903705252098,0.979082155022918
1095,1074.5833681686606,0.9813546741266307
1090,1068.941695447545,0.9806804545390322
1085,1073.2077028599972,0.9891315233732693
1080,1034.6184883403187,0.9579800817965913
1075,1029.713234760357,0.9578727765212622
1070,993.9240847238751,0.928901013760631
1065,1017.8432195940991,0.9557213329522057
1060,1028.1978217974354,0.9699979450919202
1055,1031.8436882407937,0.9780508893277665
1050,1046.9545447184835,0.9970995663985557
1045,1042.426696288569,0.9975375084101139
1040,1034.0546082920894,0.9942832772039321
1035,1032.7063185502643,0.9977838826572603
1030,1026.7946630238089,0.9968880223532125
1025,1022.7216161864932,0.997777186523408
1020,1018.0978465276868,0.9981351436545949
1015,1014.7140939200418,0.9997183191330461
1010,1008.9387408907996,0.9989492484067323
1005,1004.6825946049005,0.9996841737362194
